raw_text,food,anecdotes/miscellaneous,service,ambience,price
"The food is surprisingly good, and the decor is nice.",1,0,0,1,0
How pretentious and inappropriate for MJ Grill to claim that it provides power lunch and dinners!,2,0,0,0,0
Two wasted steaks -- what a crime!,2,0,0,0,0
The staff should be a bit more friendly.,0,0,2,0,0
I absolutely suggest this place.,0,1,0,0,0
I think the meatball parm is good.,1,0,0,0,0
"If you want good tasting, well seasoned latin food eat at Cabana and you can't go wrong.",1,0,0,0,0
Definitely try the taglierini with truffles - it was incredible.,1,0,0,0,0
"Also, the staff is very attentive and really personable.",0,0,1,0,0
"Overall, this is a great new restaurant that has been consistently good every time I have been.",0,1,0,0,0
The gnocchi literally melts in your mouth!,1,0,0,0,0
Had a great experience at Trio ... staff was pleasant; food was tasty and large in portion size - I would highly recommend the portobello/gorgonzola/sausage appetizer and the lobster risotto.,1,0,1,0,0
"Entrees include classics like lasagna, fettuccine Alfredo and chicken parmigiana.",3,0,0,0,0
"The food is good, the teriyaki I recommend.",1,0,0,0,0
Meal was very expensive for what you get.,2,0,0,0,2
Try the Peanut Butter Sorbet and the pizza with soy cheese!,1,0,0,0,0
"Good food at the right price, what more can you ask for.",1,0,0,0,1
"We love it, and took buses and cabs to get there.",0,1,0,0,0
"If you' re in New York, you do not want to miss this place.",0,1,0,0,0
"The food is top notch, the service is attentive, and the atmosphere is great.",1,0,1,1,0
"I've been coming here on and off for the past five years and I have to say that La Lanterna has never, ever dissapointed me.",0,1,0,0,0
"Great food, great waitstaff, great atmosphere, and best of all GREAT beer!",1,0,1,1,0
this is still one of my most favorite restaurants in the area the food is inexpensive but very good (kimono shrimp special was excellent) and has a great atmosphere.,1,0,0,1,1
"My husband and I moved to Nolita 6 years ago and for as long as we have lived here, Peasant has been our favorite!",0,1,0,0,0
The whole experience was satisfying.,0,1,0,0,0
"However, it was worth the visit.",0,1,0,0,0
The menu is interesting and quite reasonably priced.,1,0,0,0,1
The food was delicious and clearly fresh ingredients were used.,1,0,0,0,0
This made it obvious that the food wasn't cooked fresh; it was obviously made before hand and then reheated.,2,0,0,0,0
Appetizer are excellent here; you can make a great (and inexpensive) meal out of them.,1,0,0,0,1
The spicy mussels are a highlight.,1,0,0,0,0
Also get the Onion Rings -- best we've ever had.,1,0,0,0,0
Would not return for the amount we paid.,0,0,0,0,2
"However, being foodies, we were utterly disappointed with the food.",2,0,0,0,0
"Huge portions, great and attentive service, and pretty good prices.",1,0,1,0,1
I was highly disappointed by their service and food.,2,0,2,0,0
"I complained to the waiter and then to the manager, but the intensity of rudeness from them just went up.",0,0,2,0,0
The food is great and the milkshakes are even better!,1,0,0,0,0
Stay away if you're claustrophobic,0,0,0,2,0
"If you're in the 'hood, definitely stop in.",0,1,0,0,0
the mushroom barley soup is amazing.,1,0,0,0,0
"On the recommendation of a friend, I checked out Arezzo with my wife.",0,3,0,0,0
"I'm glad I did as the food was very good and the staff was friendly, courteous and efficient.",1,0,1,0,0
Their duck here is also absolutely delicious.,1,0,0,0,0
This is definitely one of the places that I have continued to come back to over the years.,0,1,0,0,0
"While it was large and a bit noisy, the drinks were fantastic, and the food was superb.",1,0,0,2,0
One caveat: Some of the curried casseroles can be a trifle harsh.,2,0,0,0,0
I wasn't impressed and it wasn't SPICEY????,2,0,0,0,0
The food was almost always EXCELLENT.,1,0,0,0,0
I was pleasently surprised at the taste.,1,0,0,0,0
"A nice space, as long as it doesn't get too crowded and a singleminded devotion to its chosen cuisine make Mare a great choice for seafood lovers.",1,0,0,0,0
I never had an orange donut before so I gave it a shot.,3,0,0,0,0
"they really provide a relaxing, laid-back atmosphere.",0,0,0,1,0
This particular location certainly uses substandard meats.,2,0,0,0,0
I stumbled upon this resteraunt on my way home from the subway.,0,3,0,0,0
The Management was less than accomodating.,0,0,2,0,0
The ambience is also more laid-back and relaxed.,0,0,0,1,0
the teas are great and all the sweets are homemade.,1,0,0,0,0
mojitos and the service are the best part in there,1,0,1,0,0
"Sandwiches, burgers and salads, like the lemon-dressed cobb, are classic successes.",1,0,0,0,0
this restaurant is absolutely beautiful.,0,1,0,0,0
The design is very intimate and romantic.,0,0,0,1,0
The food was wonderful and imaginative.,1,0,0,0,0
The staff is very sharp and they look good too.,0,0,1,0,0
The worst though was the taste.,2,0,0,0,0
"They were dry, stale and pretty flavorless.",2,0,0,0,0
The fajita we tried was tasteless and burned and the mole sauce was way too sweet.,2,0,0,0,0
Stay with the roasted chickens and you'll be fine.,1,0,0,0,0
"The atmosphere is warm, comfortable, artsy and sexy.",0,0,0,1,0
"The food is great (big selection, reasonable prices) and the drinks are really good.",1,0,0,0,1
The steak melted in my mouth.,1,0,0,0,0
"The food did take a few extra minutes to come, but the cute waiters' jokes and friendliness made up for it.",0,0,0,0,0
"Most importantly, it is reasonably priced.",0,0,0,0,1
"The selection of food is excellent (I'm not used to having much choice at restaurants), and the atmosphere is great.",1,0,0,1,0
"Only suggestion is that you skip the dessert, it was overpriced and fell short on taste.",2,0,0,0,2
"Food was decent, but not great.",1,0,0,0,0
I have no idea why this restaurant is so often overlooked.,0,1,0,0,0
"From the moment you walk in, you feel like you're in the perfect place.",0,1,0,0,0
i dont know what some people who rave about this hot dog are talking about.,2,0,0,0,0
it is a hidden delight complete with a quaint bar and good food.,1,0,0,1,0
"I find that most Kosher restaurants are average to good, but this has been the best I've eaten so far.",0,1,0,0,0
The waiters ALWAYS look angry and even ignore their high-tipping regulars.,0,0,2,0,0
"the atmosphere is very nice, and a welcome escape from the rest of the SI mall.",0,0,0,1,0
"Yes, they're a bit more expensive then typical, but then again, so is their food.",1,0,0,0,2
"Not terrible, but not the restaurant in the reviews of 2002.",0,2,0,0,0
"I can say that the wraps, burgers and salads were all fresh, tasty and the mango margareta at $9 was WELL WORTH the money.",1,0,0,0,1
It was delicious and large!,1,0,0,0,0
"Anywhere else, the prices would be 3x as high!",0,0,0,0,1
The service we experienced was friendly and good.,0,0,1,0,0
Our waiter was friendly and it is a shame that he didnt have a supportive staff to work with.,0,0,0,0,0
The folding chair I was seated at was uncomfortable.,0,0,0,2,0
As we waited I watched 3 seperate groups of diners discuss how dissapointed they also were.,0,2,0,0,0
An excellent choice in midtown.,0,1,0,0,0
Service was among the best I have ever had in NYC.,0,0,1,0,0
The fettucino alfredo was amazing.,1,0,0,0,0
The food was very good and I was pleasantly surprised to see so many vegan options.,1,0,0,0,0
I know real Indian food and this wasn't it.,2,0,0,0,0
"Be sure to try the Smoked Trout...Lamb Chops, Veal Chops, Rabbit, the potato gratin, on and on and on...",1,0,0,0,0
"Even when the chef is not in the house, the food and service are right on target.",1,0,1,0,0
Everything from the eggs benedict to the mussels and even the hamburger were done well and very tasty.,1,0,0,0,0
"The waiters were very professional, courteous and attentive.",0,0,1,0,0
My boyfriend and I went here last night and LOVED it!,0,1,0,0,0
The falafal was rather over cooked and dried but the chicken was fine.,0,0,0,0,0
"I highly reccomend the grand marnier shrimp, it's insanely good.",1,0,0,0,0
"We been there and we really enjoy the food, was areally great food, and the service was really good.",1,0,1,0,0
Desserts include flan and sopaipillas.,3,0,0,0,0
I was starving and the small portions were driving me crazy!,2,0,0,0,0
The wait staff was loud and inconsiderate.,0,0,2,0,0
"However, the food and service and dramatically lacking.",2,0,2,0,0
The sushi is cut in blocks bigger than my cell phone.,2,0,0,0,0
"The service is great, my soup always arrives nice and hot.",1,0,1,0,0
It had been awhile and I forgot just how delicious crepes can be.,1,0,0,0,0
Montparnasse's desserts--especially the silken creme brulee and paper-thin apple tart--are good enough on their own to make the restaurant worth the trip.,1,0,0,0,0
My friend told me about this restaurant for a year before he finally took me this weekend.,0,3,0,0,0
i had a delicious shrimp creole.,1,0,0,0,0
The chicken dinner was real good.,1,0,0,0,0
Beware of the chili signed food items not unless you want to call the fire department to douse the flames in your mouth.,2,0,0,0,0
The decor is designed in a contemporary Japanese style restaurant.,0,0,0,3,0
but the food was delicious.,1,0,0,0,0
"Try the ribs, sizzling beef and couple it with coconut rice.",1,0,0,0,0
The only drawback is that it's a little pricey.,0,0,0,0,2
Everything about this place was wonderful.,0,1,0,0,0
The avocado salad is a personal fave.,1,0,0,0,0
"And, the honey BBQ rib tips are yummy!",1,0,0,0,0
The BEST Chinese food Uptown!,1,0,0,0,0
Service is known for bending over backwards to make everyone happy.,0,0,1,0,0
"The atmosphere is attractive, but a little uncomfortable.",0,0,0,0,0
The staff is very friendly.,0,0,1,0,0
Waiters are very friendly and the pasta is out of this world.,1,0,1,0,0
Great wine list and great cocktail menu.,1,0,0,0,0
The crab cakes are delicious and the BBQ rib was perfect.,1,0,0,0,0
"The food is wonderful, artfully done and simply delicious.",1,0,0,0,0
Tiny restaurant with very fast service.,0,0,1,3,0
"The sauce may not be for everyone, since it is distintive.",0,0,0,0,0
My husband and I have been there at least 6 times and we've always been given the highest service and often free desserts.,0,0,1,0,1
"A beautiful atmosphere, perfect for drinks and/or appetizers.",0,0,0,1,0
Curioni's Pizza has been around since the 1920's.,0,3,0,0,0
They make the best pizza in New Jersey.,1,0,0,0,0
I recently visited over this past summer after being away for a year.,0,3,0,0,0
"What a difference, the service was very comforting and the food was better than average, but what really standed out was such a dynamic and extensive beer list.",1,0,1,0,0
"Frankly, the chinese food here is something I can make better at home.",2,0,0,0,0
There was only one waiter for the whole restaurant upstairs.,0,0,2,0,0
We started with the scallops and asparagus and also had the soft shell crab as well as the cheese plate.,3,0,0,0,0
"Not to be overlooked, the service is excellent.",0,0,1,0,0
this without question is one of the worst hotdogs i have ever had.,2,0,0,0,0
"The staff is unbelievably friendly, and I dream about their Saag gosht...so good.",1,0,1,0,0
I also recommend the garlic knots.,1,0,0,0,0
Best Indian food I have ever eaten.,1,0,0,0,0
You won't be dissapointed.,0,1,0,0,0
This place has the best pizza.,1,0,0,0,0
Culinaria is a welcome addition to the Garment district- far better than any restaurant in the area.,0,1,0,0,0
The music which is sometimes a little too heavy for my taste.,0,0,0,2,0
The service is excellent and always informative without an air.,0,0,1,0,0
The owner and staff go to great lengths to make you feel comfortable.,0,0,1,0,0
I can't stand this dungeon.,0,0,0,2,0
The sushi is always fresh and yummy and the menu is pretty varied.,1,0,0,0,0
"The food was great - sushi was good, but the cooked food amazed us.",1,0,0,0,0
their dinner specials are fantastic.,1,0,0,0,0
Delish and made to your liking!,1,0,0,0,0
"Great food, great drinks, nice dining atmosphere.",1,0,0,1,0
"For the price you pay for the food here, you'd expect it to be at least on par with other Japanese restaurants.",2,0,0,0,2
Food portion was SMALL and below average.,2,0,0,0,0
Do yourself a favor and avoid this place at ALL COST!,0,2,0,0,0
since the first time I came here I've been hooked.,0,1,0,0,0
Sit back in one of those comfortable chairs.,0,0,0,1,0
"People in the neighborhood seem to love it, too.",0,1,0,0,0
"in conclusion, THIS PLACE SUCKS!!!",0,2,0,0,0
My favs here are the Tacos Pastor and the Tostada de Tinga...,1,0,0,0,0
"Nick Stef's is one of the only places worthy of going in the area, so if you happen to be by Madison Square Garden or Herald's Square check it out!",0,1,0,0,0
Have to tell you: Not at all impressed.,0,2,0,0,0
"The bartenders and the managers are really nice and the decor is very comfy and laid-back, all the while being trendy.",0,0,1,1,0
"For a savory take on the soup and sandwich meal, try the hot and sour soup.",1,0,0,0,0
"This bar has it all - great drinks, cool atmosphere, excellent service and delicious food.",1,0,1,1,0
"Also, the chick peas with shrimp (appetizer) is divine.",1,0,0,0,0
"Finally, I got sick of the bad service, obnoxious smirks, and snotty back talk.",0,0,2,0,0
How have I never been to Agave before?,0,1,0,0,0
"You're going to drop some coin, but completely worth it, especially if you are looking to impress someone.",0,0,0,0,0
We ordered lamb which was perfectly cooked and tasted awesome.,1,0,0,0,0
i especially like their soft shell crab sandwich with fries.,1,0,0,0,0
"if you're looking for authentic hong kong-style food, look no further.",1,0,0,0,0
My wife I lived on the west side and found this while visiting firends on the UES.,0,3,0,0,0
good food good wine that's it.,1,0,0,0,0
A nice find in the neighborhood.,0,1,0,0,0
The staff was extremely friendly and pleasant.,0,0,1,0,0
"And as SOON as one person is done, she asked to pick up the plate immediately.",0,0,2,0,0
"This place is Italian, not French.",0,3,0,0,0
"After so many great reviews here, my bf and I went to Esca to celebrate my birthday last nite.",0,3,0,0,0
"While their kitchen food is delicious, their Sushi is out of this world.",1,0,0,0,0
"There was a heat problem to boot, so it was about 40 degrees in the restaurant -- we had to request to uncheck our coats!",0,0,0,2,0
"everything is scrumptious, from the excellent service by cute waitresses, to the extremely lush atmosphere.",0,0,1,1,0
"It's traditional, simple italian food.",1,0,0,0,0
My girlfriend and I just spent our 10 month anniversary at Lou Lou.,0,3,0,0,0
"The food is all-around good, with the rolls usually excellent and the sushi/sashimi not quite on the same level.",1,0,0,0,0
(The sashimi is cut a little thinly.,2,0,0,0,0
"Bay Terrace mall is nothing (ok, almost nothing) without it!",0,1,0,0,0
Could have had better for 1/3 the price in Chinatown.,0,0,0,0,2
My husband and I had a blast.,0,1,0,0,0
personally i say save your money.,0,2,0,0,0
"In addition to great hot dogs, DOTP has wonderful breakfast sandwiches that feature, in addition to great things like tator tots and English muffins, a delicious NJ-based pork product know to us Jersey girls and boys as Taylor ham.",1,0,0,0,0
"Believe me, they live up to the name.",0,1,0,0,0
"Well, it happened because of a graceless manager and a rude bartender who had us waiting 20 minutes for drinks, and then tells us to chill out.",0,0,2,0,0
"Not only is the service great, but forming conversation around a table is so easy beacuse the atmosphere can be both romantic and comfortable.",0,0,1,1,0
"When the dish arrived it was blazing with green chillis, definitely not edible by a human.",2,0,0,0,0
The absolute worst service I've ever experienced and the food was below average (when they actually gave people the meals they ordered).,2,0,2,0,0
It's about $7 for lunch and they have take-out or dine-in.,0,0,3,0,3
They are by far the BEST past in New York.,0,1,0,0,0
I have eaten here several times before attending an afternoon performance.,0,3,0,0,0
Everything is very cheap.,0,0,0,0,1
Be sure to accompany your food with one of their fresh juice concoctions.,1,0,0,0,0
The food is great and the prices are reasonable.,1,0,0,0,1
"The place is clean, and if you like soul food, then this is the place to be!",1,0,0,1,0
You'll see a lot of people eating there after church.,0,3,0,0,0
I had roast chicken and a salad.,3,0,0,0,0
I've been a regular customer at Juice Generation for the last 3 months - my office moved to the Film Center on Ninth Avenue and they are on the next block.,0,3,0,0,0
They have a very good chicken with avocado and good tuna as well.,1,0,0,0,0
It's the kind of place I like to support!,0,1,0,0,0
But the meals were terrible.,2,0,0,0,0
My chicken was completely dried out and on the cold side and the sauce was not very flavorful.,2,0,0,0,0
Malted Milk Ball Gelato - have you ever in your life heard of anything so ridiculously wonderful?,1,0,0,0,0
just walk by the window and see all the unbiased positive reviews in all the major nyc publications.,0,1,0,0,0
Way too much money for such a terrible meal.,2,0,0,0,2
Would not recommend anyone to go.,0,2,0,0,0
"However, the service is absolutely horrible.",0,0,2,0,0
A con was the slow bar service.,0,0,2,0,0
Dessert was also to die for!,1,0,0,0,0
"BTW, the service is very good .",0,0,1,0,0
We loved it and will go back!,0,1,0,0,0
I came again weeks later with my boyfriend and again had a very nice experience.,0,1,0,0,0
It's eaten with black vinegar and shredded ginger.,3,0,0,0,0
"The unattractive lighting made me want to gag, the food was overpriced, there was the most awful disco pop duo performing-and my escargot looked like it might crawl off the plate.",2,0,0,2,2
We'll definitly be back again!,0,1,0,0,0
This is the best Italian restaurant in the city.,0,1,0,0,0
it is a cozy place to go with a couple of friends.,0,0,0,1,0
"The service is always great, and the owner walks around to make sure you enjoy.",0,0,1,0,0
because the waiters need SEVERE ATTITUE ADJUSTMENTS.,0,0,2,0,0
"There are numerous shavue restaurants in LA, but few out here.",0,3,0,0,0
Horrible experience - stay away!,0,2,0,0,0
"If this restaurant was in Manhattan, I would definitely go more often.",0,1,0,0,0
the food is delicious and highly recommended.,1,0,0,0,0
"When it came time to take the order the waiter gave us a hard time, walked away then came back with a paper and pen for us to write down what we wanted...excuse me but isn't that his job???",0,0,2,0,0
One of my Fav spots in the city.,0,1,0,0,0
"Over priced, overrated....stay away!",0,2,0,0,2
Do not go to this restaurant.,0,2,0,0,0
"since i was in the neighborhood, we made sure to give this a try.",0,3,0,0,0
All I can say is they are fantastic.,0,1,0,0,0
Dieters stick to salads or indulge in vegetarian platters.,1,0,0,0,0
So for a filling and healthy meal give it a go.,1,0,0,0,0
I can't imagine how much worse it would have been if we'd gone at a prime time!,0,2,0,0,0
I have dined at Mammino several times now and each time it gets bettter.,0,1,0,0,0
Definitely something to come down and check out.,0,1,0,0,0
"Since I cook for a living, I'm very fussy about the food I eat in restaurants.",0,3,0,0,0
The service was outstanding.,0,0,1,0,0
I went for restaurant week.,0,3,0,0,0
My friends and I stop here for pizza before hitting the Kips Bay movie theater.,0,3,0,0,0
We always enjoy the pizza.,1,0,0,0,0
The service is pretty good.,0,0,1,0,0
I went there with a few friends and will return.,0,1,0,0,0
This place has been around for a few years.,0,3,0,0,0
"Yum, the chicken is great here.",1,0,0,0,0
I highly recommend this restaurant!!,0,1,0,0,0
You will find everything about Trio to your liking!,0,1,0,0,0
This place was the worst.,0,2,0,0,0
I ordered from here last week.,0,3,0,0,0
"This is a nice sushi restaurant in Brooklyn that's located on 86 street, right underneath the train station.",0,1,0,0,0
"The food here was great, a treat from beginning to end.",1,0,0,0,0
The host (owner) and servers are personable and caring.,0,0,1,0,0
I decided to try out this place after hearing about it in many magazines.,0,3,0,0,0
"It's just everything...the food, the atmosphere...the incrediby kind and gracious hostess.",1,0,1,1,0
Having moved I truly miss this place.,0,1,0,0,0
The food is very good and the service is great.,1,0,1,0,0
I usually get one the Vietnamese Beef Noodle Soup.,3,0,0,0,0
"SUM IT: local investment bankers like it, try for yourself at least once.",0,1,0,0,0
I started going to dosa hut more after that.,0,1,0,0,0
We were wondering why they were there to make our dining experience miserable?,0,2,0,0,0
"Too bad, has a lot of potential.",0,0,0,0,0
"This place has the best Indian food in New York, hands down.",1,0,0,0,0
The waiters are very friendly and helpful and if you frequent they will remember you.,0,0,1,0,0
Intimate but charming interior with extremely friendly and attentive service.,0,0,1,1,0
The food was as creative as the decor and both worked.,1,0,0,1,0
Siam Square is fairly new to the neighborhood and I think in time will gain the recognition it deserves.,0,1,0,0,0
My first experience at Siam Square was very pleasant.,0,1,0,0,0
I have gone back to Siam Square many times since and everytime I am very satisfied overall.,0,1,0,0,0
"The menu is great, with a good selection, and everything that I have tried is absolutely delicious.",1,0,0,0,0
We had our Christmas party at Dos Caminos and it was wonderful.,0,1,0,0,0
My personal favorite is Nick and Joe's.,0,1,0,0,0
The sauce is zesty and flavorful and the crust is nice and crispy.,1,0,0,0,0
This place has the best sushi in the city.,1,0,0,0,0
They have an excellent selection (the rolls with crab are really great).,1,0,0,0,0
"Everyone who works there (the host, the bartender, the servers) is so helpful.",0,0,1,0,0
And the food is fantastic.,1,0,0,0,0
Favourites include: potato spinach gnocchi and the lamb.,1,0,0,0,0
Another great thing about Glechik-everything is very cheap!,0,0,0,0,1
"Unfortunately, we chose this spot for lunch as we had done a lot of walking and ended up at the South St Seaport.",0,2,0,0,0
But regulars know that the sandwiches are the real star here.,1,0,0,0,0
The skillfully chosen Portuguese cheese cart paired with quality port provides the perfect Iberian ending.,1,0,0,0,0
My friend had a burger and I had these wonderful blueberry pancakes.,1,0,0,0,0
We were so happy with our food and were even more thrilled when we saw the bill.,1,0,0,0,1
I would definitely come back to this restaurant.,0,1,0,0,0
The place just isn't ready for prime time.,0,2,0,0,0
"All toppings are so fresh you'd think they had their own vegetable garden and the crust is so perfect, that one actually thinks of how it was made.",1,0,0,0,0
Quartino is my favoriate resturant in NYC.,0,1,0,0,0
We've always gotten amazing service and we love the food.,1,0,1,0,0
"The waitstaff is solicitous and friendly and always seems glad to see us, and the food is wonderful, if not stunningly creative.",1,0,1,0,0
I'm in love with the lobster ravioli!,1,0,0,0,0
My order is on my table even on a busy friday night within 10 minutes (at the most) of hanging up the phone.,0,0,1,0,0
We came across this restaurant by accident while at a DUMBO art festival and thoroughly enjoyed our meal.,1,0,0,0,0
"Service is excellent, no wait, and you get a lot for the price.",1,0,1,0,1
I thought the food isn't cheap at all compared to Chinatown.,0,0,0,0,2
And you never get the feeling that you need to leave.,0,1,0,0,0
Coffee is a better deal than overpriced Cosi sandwiches.,0,0,0,0,0
We didn't know if we should order a drink or leave?,0,3,0,0,0
great neighbhorhood spot.,0,1,0,0,0
Bobb V's is a great place to take your Friends and Family!,0,1,0,0,0
") It's not the best Japanese restaurant in the East Village, but it's a pretty solid one for its modest prices, and worth repeat visits.",0,0,0,0,1
The food is so good and so popular that waiting can really be a nightmare.,1,0,2,0,0
"Here's the thing, you're in the best city in the world for restaurants.",0,1,0,0,0
Go spend your money somewhere that really wows you.,0,3,0,0,0
"The crowd was older and the restaurant is very cramped, but it has old school charm.",0,0,0,0,0
This is a real gem of a place.,0,1,0,0,0
I think this a a wonderful place.,0,1,0,0,0
First walking in the place seemed to have great ambience.,0,0,0,1,0
I went to Kitchenette this weekend for brunch.,0,3,0,0,0
"This place doesn't get the publicity that Sylvias Soul Food restaurant does, but it should.",0,1,0,0,0
Just because P Diddy had a party at Butter doesn't mean we should be automatically impressed.,0,2,0,0,0
Even for two very hungry people there is plenty of food left to be taken home (it reheats really well also).,1,0,0,0,0
"Like I said, Nick and Joe's may not be everyone's favorite, but it's mine.",0,1,0,0,0
The help was extremely nice and did not rush us.,0,0,1,0,0
"Then they somehow made a dry and burnt crust, around a raw and cold inside.",2,0,0,0,0
"It's just good food, nothing more and that's all we want!",1,0,0,0,0
DON'T KNOW WHAT THE OTHERS ON THE BLOCK WERE LIKE BUT WE WERE PLEASED WITH OUR CHOICE.,0,1,0,0,0
Average cake thats been courted by a LOT of hype.,2,0,0,0,0
It's cute and simple and I loved it.,0,1,0,0,0
My wife and I recently visited the bistro for dinner and had a wonderful experience.,0,1,0,0,0
THE SERVICE IS PERFECT TOO  NOTHING WRONG IN THIS ITALIAN/FRENCH RESTAURANT,0,1,1,0,0
My fiance and I recently wanted to see the city and deceided to take a dinner cruise.,0,3,0,0,0
The $72 Delmonico steak had to be sent back because it was not cooked to order.,2,0,0,0,2
Everytime I go there I can't pick anything to eat and not because the menu is filled with great things to eat.,2,0,0,0,0
Half a chicken with a mountain of rice and beans for $6.25.,0,0,0,0,1
"The service is really fast and friendly, and the value is great.",0,0,1,0,1
We were very impressed with the food and value.,1,0,0,0,1
You must try the garlic soup!,1,0,0,0,0
"Casablanca servces delicious falafel, tabouleh, humus and other Mediterranean delights, which are all very inexpensive.",1,0,0,0,1
"Even after a few bad evenings at Bardolino, I keep coming back.",0,0,0,0,0
"The pizza's are made fresh, crispy, and ready to serve.",1,0,0,0,0
"There are many french bistros in the midtown area, and I wholheartedly recommend this one.",0,1,0,0,0
Staff is accomodating make sure you are satified.,0,0,1,0,0
Chef Waldy's always measures up.,1,0,0,0,0
This diamond in the ruff is definitely worth my 10-minute walk from the 6 train.,0,1,0,0,0
"Being a vegan myself, I've made a point of trying all the vegan restaurants in Manhattan--and Zen Palate is easily my favorite.",0,1,0,0,0
Don Pedro's is one of my favorite restaurants.,0,1,0,0,0
Reasonably priced with very fresh sushi.,1,0,0,0,1
Go for the Seafood Paella for two.,1,0,0,0,0
All of the apetizers are good and the Sangria is very good.,1,0,0,0,0
Cantinetta is a real treasure in a see of mediocre Italian restaurants.,0,1,0,0,0
"The one positive thing I can say is that the service was prompt, we got seated right away and the server was very friendly.",0,0,1,0,0
The staff greeted me warmly at the door and I was seated promptly and the food was excellent.,1,0,1,0,0
Whether one pizza place is better than another is often very subjective.,0,3,0,0,0
Really nice restaurant to go with a group or on a date.,0,1,0,0,0
Service is usually pretty good.,0,0,1,0,0
Host and Hostess was quite rude.,0,0,2,0,0
You will not be missing anything.,0,2,0,0,0
I discovered Applebees when I went away to college in VA.,0,3,0,0,0
"the wait staff is very friendly, if your not rude or picky.......our meal at Leon last weekend was great -.",1,0,1,0,0
I recommend any of their salmon dishes......,1,0,0,0,0
The foie gras was sweet and luscious.,1,0,0,0,0
"The menu, which changes seasonally, shows both regional and international influences.",3,0,0,0,0
but their mac cheese was YUMMY!,1,0,0,0,0
their brunch menu had something for everyone.,1,0,0,0,0
jazz singer had a nice voice + she made us all get up to dance to shake some cals to eat some more.,0,0,0,1,0
"I often find myself with time to kill in Times Square, which is a shame since I don't love this area.",0,2,0,0,0
They have very quick service which is great when you don't have much time.,0,0,1,0,0
"The food is average: breakfast food, soups, salads, sandwiches, etc.",3,0,0,0,0
I WAS HIGHLY DISAPPOINTED BY THE FOOD.,2,0,0,0,0
"THE BANANA PUDDING THEY SERVE HAS NEVER SEEN AN OVEN,THE CRABCAKES ARE WAY OVER SALTED AND DON'T GET ME STARTED ON THE VERY GREASY MAC AND CHEESE.",2,0,0,0,0
"The staff is arrogant, the prices are way high for Brooklyn.",0,0,2,0,2
This place is average... at best.,0,2,0,0,0
the service is prompt friendly.,0,0,1,0,0
Whatever the reason it is definitely the place to be.,0,1,0,0,0
This is literally a hot spot when it comes to the food.,1,0,0,0,0
The downstairs bar scene is very cool and chill...,0,0,0,1,0
"The food was definitely good, but when all was said and done, I just couldn't justify it for the price (including 2 drinks, $100/person)...",1,0,0,0,2
I've come here for casual lunches as well as for a friend's birthday and I always enjoy myself.,0,1,0,0,0
